"specRPName","errorExample","errorExampleReasonFromValidation","errorExampleReasonFromMock"
"databricks","specification/databricks/resource-manager/Microsoft.Databricks/preview/2021-04-01-preview/examples/PrivateEndpointConnectionsDelete.json","","Wrong operaion api version"
"datafactory","specification/databricks/resource-manager/Microsoft.Databricks/preview/2021-04-01-preview/examples/PrivateEndpointConnectionsDelete.json","DISCRIMINATOR_VALUE_NOT_FOUND",""
"datafactory","specification/databricks/resource-manager/Microsoft.Databricks/preview/2021-04-01-preview/examples/PrivateEndpointConnectionsDelete.json","DISCRIMINATOR_VALUE_NOT_FOUND",""
"datafactory","specification/databricks/resource-manager/Microsoft.Databricks/preview/2021-04-01-preview/examples/PrivateEndpointConnectionsDelete.json","DISCRIMINATOR_VALUE_NOT_FOUND",""
"datafactory","specification/databricks/resource-manager/Microsoft.Databricks/preview/2021-04-01-preview/examples/PrivateEndpointConnectionsDelete.json","DISCRIMINATOR_VALUE_NOT_FOUND",""
"datamigration","specification/datamigration/resource-manager/Microsoft.DataMigration/preview/2021-10-30-preview/examples/Services_CreateOrUpdate.json","","Example response not match with schema"
"datamigration","specification/datamigration/resource-manager/Microsoft.DataMigration/preview/2021-10-30-preview/examples/Services_Update.json","","Example response not match with schema"
"datashare","specification/datashare/resource-manager/Microsoft.DataShare/stable/2020-09-01/examples/ShareSubscriptions_CancelSynchronization.json","","Example response not match with schema"
"deploymentmanager","specification/deploymentmanager/resource-manager/Microsoft.DeploymentManager/preview/2019-11-01-preview/examples/operations_list.json","","Example response not match with schema"
"desktopvirtualization","specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/preview/2021-09-03-preview/examples/Application_Get.json","","Example response not match with schema"
"desktopvirtualization","specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/preview/2021-09-03-preview/examples/Application_Create.json","","Example response not match with schema"
"desktopvirtualization","specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/preview/2021-09-03-preview/examples/Application_Update.json","","Example response not match with schema"
"desktopvirtualization","specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/preview/2021-09-03-preview/examples/Application_List.json","","Example response not match with schema"
